| timestamp                  |   FT_001 |   FT_002 |   PT_001 |   PT_002 |   PT_003 |   PT_004 |   TE_001 |   TE_002 |   TE_003 |   TT_001 |   TT_002 |   TT_003 |   FZ_003 |   FZ_001 |   FZ_002 |   SV_001 |   SV_002 |   SV_003 |   SV_004 |   SV_005 |   SV_006 |   SV_007 |   SV_008 |   LSH_001 |   LSL_001 |   LSL_002 |   BY_001 |   FY_001 |   FY_002 |   FY_003 |   EE_101 |   EE_102 |   EE_103 |   IE_101 |   IE_102 |   IE_103 |   TE_101 |   SE_101 |   EE_201 |   EE_202 |   IE_201 |   TE_201 |   TE_202 |   EE_301 |   EE_302 |   EE_303 |   IE_301 |   IE_302 |   IE_303 |   TE_301 |   ST_301 |   WT_401 |   TE_401 |   WT_402 |   TE_402 |
| 2022-04-11 15:55:47.610979 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 15:55:48.880979 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 15:55:50.164059 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 15:55:51.625480 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      728 |      718 |      708 |       21 |       20 |       20 |       79 |       61 |        0 |        0 |       11 |        0 |       73 |      215 |      229 |      228 |       33 |       34 |       35 |       71 |     2478 |      101 |       68 |      227 |       57 |
| 2022-04-11 15:55:52.895175 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      711 |      717 |      711 |       22 |       22 |       21 |       78 |       60 |        0 |        0 |       18 |        0 |       66 |      222 |      210 |      215 |       35 |       32 |       34 |       79 |     2308 |      108 |       67 |      218 |       57 |
| 2022-04-11 15:55:54.174592 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      714 |      721 |      713 |       24 |       24 |       21 |       74 |       59 |        0 |        0 |       16 |        0 |       70 |      210 |      214 |      212 |       34 |       34 |       31 |       71 |     2308 |      102 |       69 |      215 |       56 |
| 2022-04-11 15:55:55.438980 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      701 |      702 |      718 |       23 |       20 |       22 |       71 |       58 |        0 |        0 |       10 |        0 |       64 |      216 |      219 |      216 |       35 |       35 |       35 |       79 |     2418 |      119 |       61 |      214 |       52 |
| 2022-04-11 15:55:56.706979 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      701 |      727 |      709 |       24 |       20 |       22 |       71 |       60 |        0 |        0 |       16 |        0 |       67 |      212 |      221 |      221 |       31 |       32 |       31 |       70 |     2476 |      123 |       73 |      220 |       57 |
| 2022-04-11 15:55:57.974979 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      719 |      715 |      720 |       23 |       22 |       24 |       77 |       58 |        0 |        0 |       15 |        0 |       68 |      225 |      218 |      212 |       32 |       33 |       32 |       72 |     2427 |      128 |       67 |      206 |       55 |
| 2022-04-11 15:55:59.242981 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      728 |      703 |      729 |       24 |       24 |       24 |       72 |       58 |        0 |        0 |        8 |        0 |       63 |      223 |      229 |      211 |       32 |       32 |       35 |       72 |     2335 |      142 |       74 |      212 |       57 |
| 2022-04-11 15:56:00.584946 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      701 |      715 |      729 |       21 |       21 |       24 |       78 |       60 |        0 |        0 |       19 |        0 |       66 |      211 |      224 |      227 |       34 |       35 |       30 |       70 |     2485 |      145 |       68 |      221 |       55 |
| 2022-04-11 15:56:01.861232 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      706 |      711 |      716 |       21 |       20 |       21 |       76 |       61 |        0 |        0 |       11 |        0 |       70 |      211 |      215 |      229 |       34 |       35 |       31 |       77 |     2309 |      142 |       70 |      229 |       54 |
| 2022-04-11 15:56:03.125517 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      711 |      727 |      711 |       24 |       22 |       24 |       79 |       60 |        0 |        0 |       19 |        0 |       70 |      217 |      218 |      215 |       31 |       30 |       33 |       75 |     2341 |      101 |       64 |      224 |       55 |
| 2022-04-11 18:54:33.094743 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 18:54:34.478734 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 18:54:35.775725 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 18:54:37.038716 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
